Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
3,0945,"Sheltowee Sales, Agent","","Adorabella","03/16/2016","DB/BR",Mare,"Ghostzapper","Alydorable","Fast Anna","05/08/2019","pregnant","Broodmare","Greg Kilka",14000
3,0946,"Hunter Valley Farm, Agent","","Aiden's Rag Doll","03/04/2014","CH",Mare,"Union Rags","Silent Stream","Commissioner","03/02/2019","pregnant","Broodmare","Case Erwin",8500
3,0947,"Mulholland Farm, Agent","","Texas Red --- Ainsley","04/17/2019","B",Colt,"Texas Red","Ainsley","","","","Yearling","*RNA (8,000)",---
3,0948,"Vinery Sales, Agent XXVIII","","Aint She a Saint","02/24/2009","DB/BR",Mare,"Saintly Look","Pay the Toll","Temple City","05/23/2019","pregnant","Broodmare","Rachid Brothers",11000
3,0949,"Pope McLean (Crestwood Farm), Agent for Kendall E. Hansen,","M.D. Racing, LLC","Klimt --- Allencat","04/28/2019","CH",Colt,"Klimt","Allencat","","","","Yearling","Out",0
3,0950,"Mulholland Farm, Agent","","Maclean's Music --- Alluriana","03/06/2019","B",Colt,"Maclean's Music","Alluriana","","","","Yearling","MNI Racing",7500
3,0951,"Darby Dan Farm, Agent VI","","Tapiture --- American Profile","05/15/2019","B",Colt,"Tapiture","American Profile","","","","Yearling","Alden Caldwell, Agent",15000
3,0952,"South Point Sales Agency, Agent XXIII","","American Valor","03/08/2013","B",Mare,"Forestry","Purple Trillium","Khozan","05/16/2019","pregnant","Broodmare","Out",0
3,0953,"Bluewater Sales LLC, Agent X","","Exaggerator --- Amie's Dini","05/01/2019","B",Colt,"Exaggerator","Amie's Dini","","","","Yearling","Morning Run Farm",1000
3,0954,"Kaizen Sales (Richard Kent), Agent IV","","And Away We Go","02/16/2008","CH",Mare,"Awesome Again","Queens Court Queen","","","not mated","Broodmare","Out",0
3,0955,"Legacy Bloodstock, Agent XXIII","","And You Can","05/20/2011","GR/RO",Mare,"Istan","El Fasto","American Freedom","04/05/2019","pregnant","Broodmare","Sun Valley Farm",12000
3,0956,"Taylor Made Sales Agency, Agent LXXXIV","","Anna Banana","05/13/2007","B",Mare,"During","Vands","California Chrome","03/20/2019","pregnant","Broodmare","Robert Gorham",10000
3,0957,"Blackburn Farm (Michael T. Barnett), Agent","","Lea --- Another Gal","03/01/2019","CH",Colt,"Lea","Another Gal","","","","Yearling","Lochness, Agent",9000
3,0958,"South Point Sales Agency, Agent III","","Bodemeister --- Anothermouthtofeed","02/07/2019","B",Colt,"Bodemeister","Anothermouthtofeed","","","","Yearling","Equine Consulting, Agent",8000
3,0959,"Taylor Made Sales Agency, Agent for Irving Cowan","","A. P. Double Cat","05/17/2005","DB/BR",Mare,"A.P. Indy","Double Cat","Blame","06/17/2019","pregnant","Broodmare","Bullet Stables",10000
3,0960,"Bluewater Sales LLC, Agent XIII","","Arabella Bella","02/21/2015","GR/RO",Mare,"Skipshot","Deadly Diva","","","","Racing or Broodmare Prospect","Beech Spring, Agent",50000
3,0961,"Kaizen Sales (Richard Kent), Agent","","Gormley --- Atsila","03/15/2019","B",Filly,"Gormley","Atsila","","","","Yearling","Out",0
3,0962,"Penn Sales","","Ava's Playful Run","03/12/2009","DB/BR",Mare,"Doneraile Court","Playful Run","McCraken","04/18/2019","pregnant","Broodmare","Katie Browne",3000
3,0963,"Bluewater Sales LLC, Agent XIII","","Aventina","02/20/2003","B",Mare,"Dynaformer","Desert Angel","Oscar Performance","03/02/2019","pregnant","Broodmare","Chad Schumer, Agent",10000
3,0964,"Scott Mallory, Agent XI","","Awesome Omi","02/25/2015","DB/BR",Mare,"Awesome Again","Omi's Vindication","Palace Malice","05/08/2019","pregnant","Broodmare","Out",0
3,0965,"Hill 'n' Dale Sales Agency, Agent","","Azima","05/16/2016","CH",Mare,"Curlin","Private Dreams","Army Mule","05/07/2019","pregnant","Broodmare","Eugenio Zegers",20000
3,0966,"Blake-Albina Thoroughbred Services LLC, Agent I","","Baci","04/24/2016","GR/RO",Filly,"Midshipman","Hot Chile Soup","","","","Racing or Broodmare Prospect","Out",0
3,0967,"Marshall W. Silverman, Agent for Marathon Farms","","Shanghai Bobby --- Beautiful Lu","04/28/2019","DB/BR",Filly,"Shanghai Bobby","Beautiful Lu","","","","Yearling","D. R. Investments",7000
3,0968,"Shawhan Place LLC, Agent IV","","Belissimo","02/10/2016","B",Mare,"Awesome Again","Smart Sting","Point of Entry","03/02/2019","pregnant","Broodmare","Out",0
3,0969,"Vinery Sales, Agent XXXIII","","Upstart --- Betty's Wish","04/26/2019","B",Colt,"Upstart","Betty's Wish","","","","Yearling","Pepper Racing",15000
3,0970,"Wynnstay Sales, Agent III","","Goldencents --- Big N Lucky","02/09/2019","B",Filly,"Goldencents","Big N Lucky","","","","Yearling","Out",0
3,0971,"Hunter Valley Farm, Agent","","Competitive Edge --- Bill's Presence","04/09/2019","B",Filly,"Competitive Edge","Bill's Presence","","","","Yearling","Bluewater Sales, Agent",13000
3,0972,"Wynnstay Sales, Agent II","","Anchor Down --- Bint Elusive","05/31/2019","DB/BR",Filly,"Anchor Down","Bint Elusive","","","","Yearling","Richard L. Davis",22000
3,0973,"Darby Dan Farm, Agent VII","","Tapiture --- Biogio's Gift","03/23/2019","CH",Filly,"Tapiture","Biogio's Gift","","","","Yearling","Out",0
3,0974,"Vinery Sales, Agent XXVIII","","Black Mission Fig","03/21/2012","DB/BR",Mare,"Fusaichi Pegasus","Lady de Rosa","Super Saver","06/13/2019","pregnant","Broodmare","Bruno DeBerdt, Agent for Faisal Hammad Al Rasheed",12000
3,0975,"Vinery Sales, Agent XXVIII","","Can the Man --- Black Mission Fig","04/12/2019","B",Filly,"Can the Man","Black Mission Fig","","","","Yearling","New York Racing Stable",1700
3,0976,"Wynnstay Sales, Agent III","","Brody's Cause --- Black Ocean","05/08/2019","DB/BR",Filly,"Brody's Cause","Black Ocean","","","","Yearling","H. Allen Poindexter",45000
3,0977,"Ballysax Bloodstock, Agent VIII","","Lord Nelson --- Sweetness 'n Light","02/14/2019","CH",Filly,"Lord Nelson","Sweetness 'n Light","","","","Yearling","Harvest Landing",22000
3,0978,"Vinery Sales, Agent XLI","","Palace Malice --- Blossom Point","06/07/2019","B",Colt,"Palace Malice","Blossom Point","","","","Yearling","Dailey Bloodstock, Agent",48000
3,0979,"Vinery Sales, Agent XVIII","","Blush Now","04/09/2014","B",Mare,"Tiznow","Blush","Jimmy Creed","06/06/2019","pregnant","Broodmare","KSA Farm",7000
3,0980,"Mulholland Farm, Agent","","Bordeaux Birdie","04/20/2014","B",Mare,"Astrology","Miss Stonestreet","Texas Red","05/04/2019","pregnant","Broodmare","*RNA (2,200)",---
3,0981,"Bluewater Sales LLC, Agent XIII","","Bossy Bride","02/05/2016","B",Filly,"Malibu Moon","Travelers' Way","","","","Racing or Broodmare Prospect","Diodoro Racing Stable",40000.00
3,0982,"Pope McLean (Crestwood Farm), Agent","","Breeze Bayou","01/03/2008","B",Mare,"Perfect Soul (IRE)","Bourbon Belle","Klimt","06/03/2019","pregnant","Broodmare","Legend Stud Farm",6000
3,0983,"Vinery Sales, Agent XXVIII","","Astern (AUS) --- Brilliant Katie","04/12/2019","B",Colt,"Astern (AUS)","Brilliant Katie","","","","Yearling","Exclusive Equine Investments",75000
3,0984,"Taylor Made Sales Agency, Agent VI","","Bronx City Girl","04/10/2007","B",Mare,"Yankee Gentleman","Carsona","McCraken","04/01/2019","pregnant","Broodmare","Mary Hare / Terrie Baze, Agent",35000
3,0985,"Vinery Sales, Agent XXV","","American Freedom --- Bud's Little Edge","03/15/2019","B",Colt,"American Freedom","Bud's Little Edge","","","","Yearling","*RNA (15,000)",---
3,0986,"Shawhan Place LLC, Agent IV","","Fort Larned --- Buffythecenterfold","04/10/2019","DB/BR",Filly,"Fort Larned","Buffythecenterfold","","","","Yearling","Out",0
3,0987,"Bluewater Sales LLC, Agent XIII","","Call Me Kayla","05/08/2015","B",Mare,"Quality Road","Lady Micaela","","","","Racing or Broodmare Prospect","*RNA (50,000)",---
3,0988,"Hartwell Farm, Agent I","","Call to Action","04/27/2010","B",Mare,"Majestic Warrior","Burren","Midnight Lute","05/03/2019","pregnant","Broodmare","Out",0
3,0989,"Taylor Made Sales Agency, Agent LXXXVII","","Candycoated Dame","03/31/2014","B",Mare,"Twirling Candy","Dangerous Dame","Hoppertunity","05/11/2019","pregnant","Broodmare","Cama & Coated Dame Partnership",13000
3,0990,"Taylor Made Sales Agency, Agent VIII","","California Chrome --- Castor","04/23/2019","CH",Colt,"California Chrome","Castor","","","","Yearling","Nobu Arakl, Agent",12000
3,0991,"Select Sales, Agent VII","","Catalonian Gold","04/20/2014","CH",Mare,"Congrats","Catalonian","Exaggerator","04/09/2019","pregnant","Broodmare","Jose M. Garcia-Blanco",8000
3,0992,"Pope McLean (Crestwood Farm), Agent II","","Cats Halo","02/12/2013","B",Mare,"Freud","Halo's Notebook","Connect","03/24/2019","pregnant","Broodmare","Out",0
3,0993,"Taylor Made Sales Agency, Agent XLV","","Mohaymen --- Catty Barry","04/05/2019","GR/RO",Filly,"Mohaymen","Catty Barry","","","","Yearling","Michelle Redding, Agent",14000
3,0994,"Taylor Made Sales Agency, Agent IV","","Cha Cha Time","03/31/2013","DB/BR",Mare,"Gio Ponti","Reduced Sentence","Super Saver","05/21/2019","pregnant","Broodmare","Janet Beyersdorfer / Narvick International",37000
3,0995,"Darby Dan Farm, Agent XI","","Tapiture --- Chance Review","05/06/2019","B",Filly,"Tapiture","Chance Review","","","","Yearling","Out",0
3,0996,"Legacy Bloodstock, Agent XI","","Channel Princess","03/14/2016","B",Filly,"English Channel","Carnival Kitten","","","","Racing or Broodmare Prospect","Vossfeld Bloodstock, LLC",30000
3,0997,"Taylor Made Sales Agency, Agent IV","","Cinnamon Kisses","04/13/2005","DB/BR",Mare,"Doneraile Court","Emerging Glory","Outwork","04/22/2019","pregnant","Broodmare","Rockbridge Bloodstock, Agent",19000
3,0998,"Lisa and Tim Turney, Agent II","","Lea --- City Roar","02/07/2019","B",Colt,"Lea","City Roar","","","","Yearling","Ironhorse Racing",20000
3,0999,"Nicky Drion Thoroughbreds, Agent II","","Tamarkuz --- Cobblestone Way","04/22/2019","CH",Colt,"Tamarkuz","Cobblestone Way","","","","Yearling","Karelia Stables",12000
3,1000,"Taylor Made Sales Agency, Agent XLVII","","Colarful Song","05/15/2010","B",Mare,"Songandaprayer","Chartreuse","Astern (AUS)","03/22/2019","pregnant","Broodmare","Cowboy Stables, LLC",7000
3,1001,"Hunter Valley Farm, Agent","","Air Force Blue --- Collect the Fee","03/26/2019","B",Colt,"Air Force Blue","Collect the Fee","","","","Yearling","Out",0
3,1002,"Denali Stud, Agent XI","","Come on City (GER)","03/01/2015","DB/BR",Mare,"Wiener Walzer (GER)","City of Light (FR)","","","","Broodmare Prospect","Burton Sipp",1500
3,1003,"St George Sales, Agent XVII","","Commandaria","04/13/2012","CH",Mare,"Smart Strike","Cassis","Cross Traffic","04/19/2019","pregnant","Broodmare","C. J. Thoroughbreds",15000
3,1004,"St George Sales, Agent XVII","","Bodemeister --- Commandaria","03/27/2019","B",Colt,"Bodemeister","Commandaria","","","","Yearling","Summer Wind Farm",5200
3,1005,"Select Sales, Agent XV","","Midnight Storm --- Confessa","05/11/2019","DB/BR",Filly,"Midnight Storm","Confessa","","","","Yearling","Out",0
3,1006,"Vinery Sales, Agent XXXII","","Tapiture --- Congrats Honey","02/20/2019","CH",Colt,"Tapiture","Congrats Honey","","","","Yearling","Honey 4 Eggs Racing",1700
3,1007,"ELiTE, Agent","","Corey Scores","05/13/2016","DB/BR",Filly,"More Than Ready","St Francis Wood","","","","Racing or Broodmare Prospect","Out",0
3,1008,"Shawhan Place LLC, Agent IV","","Mucho Macho Man --- Courtizanna","04/29/2019","DB/BR",Filly,"Mucho Macho Man","Courtizanna","","","","Yearling","Out",0
3,1009,"Denali Stud, Agent XXIX","","Overanalyze --- Crab Key","03/19/2019","CH",Colt,"Overanalyze","Crab Key","","","","Yearling","Sam Aguiar",12000
3,1010,"Hill 'n' Dale Sales Agency, Agent","","Flintshire (GB) --- Cruz to the Top","04/19/2019","B",Colt,"Flintshire (GB)","Cruz to the Top","","","","Yearling","Kinga Farm",3500
3,1011,"Vinery Sales, Agent XIV","","Cupid --- Dance Chic to Chic","04/10/2019","DB/BR",Colt,"Cupid","Dance Chic to Chic","","","","Yearling","Out",0
3,1012,"Taylor Made Sales Agency, Agent XLII","","Violence --- Dancing Onthemoon","03/08/2019","DB/BR",Colt,"Violence","Dancing Onthemoon","","","","Yearling","Briston Bloodstock",65000
3,1013,"South Point Sales Agency, Agent XXIV","","Decant","03/25/2014","DB/BR",Mare,"Tapit","Sumptuous","Super Saver","05/01/2019","pregnant","Broodmare","Winchell Thoroughbreds, LLC",100000
3,1014,"Bluewater Sales LLC, Agent II","","Defoe Street","04/30/2010","B",Mare,"Street Sense","Kris Pit","","","not mated","Broodmare","Short Term Investments",1500
3,1015,"Taylor Made Sales Agency, Agent XLIX","","Connect --- Deherewego","02/01/2019","DB/BR",Colt,"Connect","Deherewego","","","","Yearling","Carolin Von Rosenberg",10000
3,1016,"Taylor Made Sales Agency, Agent XLIX","","Deherewego","05/11/2009","DB/BR",Mare,"Dehere","Gift to the World","Cross Traffic","03/07/2019","pregnant","Broodmare","Mary Motion, Agent",20000
3,1017,"Taylor Made Sales Agency, Agent XV","","Blame --- Delta Holiday","05/03/2019","DB/BR",Filly,"Blame","Delta Holiday","","","","Yearling","*RNA (22,000)",---
3,1018,"Vinery Sales, Agent XLVIII","","Commissioner --- Deputy G. G.","02/08/2019","DB/BR",Colt,"Commissioner","Deputy G. G.","","","","Yearling","Bluewater Sales, Agent",12000
3,1019,"St George Sales, Agent XII","","Desert Image","02/01/2012","DB/BR",Mare,"Ready's Image","Sahara Moon","","","not mated","Broodmare","*RNA (0)",---
3,1020,"South Point Sales Agency, Agent VI","","Dialed to Go","03/17/2015","B",Mare,"Dialed In","Me Gotta Go","Sharp Azteca","02/21/2019","pregnant","Broodmare","Out",0
3,1021,"Darby Dan Farm, Agent III","","Speightster --- Dillingham","03/06/2019","B",Colt,"Speightster","Dillingham","","","","Yearling","Sally Thomas",19000.00
3,1022,"Shawhan Place LLC, Agent IV","","Diva's Dream","05/03/2016","CH",Filly,"Mucho Macho Man","Final Fling","","","","Broodmare Prospect","Out",0
3,1023,"Legacy Bloodstock, Agent XXIII","","Divine County","03/31/2011","B",Mare,"Divine Park","Henderson Band","American Freedom","05/25/2019","pregnant","Broodmare","Ahmad Alabdullatif",5000
3,1024,"Legacy Bloodstock, Agent XXIII","","Mark Valeski --- Divine County","05/05/2019","B",Filly,"Mark Valeski","Divine County","","","","Yearling","*RNA (9,000)",---
3,1025,"Buckland Sales (Zach Madden), Agent XXX","","Divine River","05/20/2011","CH",Mare,"Divine Park","Da River Hoss","Mark Valeski","03/13/2019","pregnant","Broodmare","Nick Raver",1700
3,1026,"Alliance Sales Agency","","Street Boss --- Donna D","04/07/2019","DB/BR",Colt,"Street Boss","Donna D","","","","Yearling","Out",0
3,1027,"Select Sales, Agent XXV","","Don'tpassjudgement","03/17/2012","DB/BR",Mare,"Pioneerof the Nile","Baggio","Shackleford","04/24/2019","pregnant","Broodmare","Russell Meerdink",6500
3,1028,"Vinery Sales, Agent LI","","Dram Girl","02/25/2012","B",Mare,"English Channel","Notable Career","Midnight Storm","05/13/2019","pregnant","Broodmare","Out",0
3,1029,"Denali Stud, Agent I","","Drop Dead Red","02/05/2013","CH",Mare,"Hold Me Back","Stylish Affair","","","","Racing or Broodmare Prospect","Alistar Roden Bloodstock, Agent",18000
3,1030,"Vinery Sales, Agent XXIX","","Dulce Puella","02/06/2015","DB/BR",Mare,"Super Saver","Such a Sweet Girl","","","","Racing or Broodmare Prospect","*RNA (3,000)",---
3,1031,"Taylor Made Sales Agency, Agent LI","","Mshawish --- Dundalk Dancer","04/05/2019","B",Colt,"Mshawish","Dundalk Dancer","","","","Yearling","Chris & Kenzie Johnson",15000
3,1032,"Legacy Bloodstock, Agent VII","","Klimt --- Eden Is Burning","03/27/2019","B",Filly,"Klimt","Eden Is Burning","","","","Yearling","Briston Bloodstock",16000
3,1033,"Taylor Made Sales Agency, Agent VIII","","Overanalyze --- Eiffel Tower","04/26/2019","B",Filly,"Overanalyze","Eiffel Tower","","","","Yearling","*RNA (4,000)",---
3,1034,"South Point Sales Agency, Agent XV","","Carpe Diem --- Ella's Music","04/16/2019","CH",Filly,"Carpe Diem","Ella's Music","","","","Yearling","Wes and Addison Bloodstock",3500
3,1035,"Bluewater Sales LLC, Agent XIII","","Elle's Town","05/11/2016","DB/BR",Filly,"Speightstown","Irish Presence","","","","Racing or Broodmare Prospect","Douglas Arnold, Agent",240000
3,1036,"South Point Sales Agency, Agent IV","","English Dancer","03/16/2014","B",Mare,"English Channel","Your Flame in Me","","","","Racing or Broodmare Prospect","Jerry Thomas Greve",15000.00
3,1037,"Buckland Sales (Zach Madden), Agent IV","","Flintshire (GB) --- Entangle (GB)","05/02/2019","B",Filly,"Flintshire (GB)","Entangle (GB)","","","","Yearling","Glidawn Stud",35000
3,1038,"Bluewater Sales LLC, Agent XIII","","Escape Fund","05/03/2017","B",Filly,"Lea","Run Lady Run","","","","Racing or Broodmare Prospect","Out",0
3,1039,"Taylor Made Sales Agency, Agent LXXVII","","Eskendar","03/10/2016","CH",Filly,"Eskendereya","Island Love Song","","","","Broodmare Prospect","Out",0
3,1040,"Bluewater Sales LLC, Agent II","","Ever Awesome","01/24/2009","B",Mare,"Awesome Again","Dante's Mary","Always Dreaming","03/07/2019","pregnant","Broodmare","Equine Futures, LLC",8500
3,1041,"Bluewater Sales LLC, Agent IX","","Ever So True","04/14/2015","B",Mare,"Animal Kingdom","Ever So","","","","Broodmare Prospect","Buena Madera",2500
3,1042,"Denali Stud, Agent XXXIII","","Excess Capacity","03/05/2016","GR/RO",Filly,"Malibu Moon","Wicked Ride","","","","Racing or Broodmare Prospect","Out",0
3,1043,"Taylor Made Sales Agency, Agent for Irving Cowan","","Fabulous Devotion","04/19/2013","CH",Mare,"Tapit","Superior Selection","Twirling Candy","03/15/2019","pregnant","Broodmare","Bloodstock Thoroughbreds",32000
3,1044,"Terrazas Thoroughbreds, Agent II","","Fast Anna --- Fashioned Lady","04/29/2019","CH",Filly,"Fast Anna","Fashioned Lady","","","","Yearling","*RNA (37,000)",---
3,1045,"Select Sales, Agent XXVII","","Feelin Foxie","03/23/2014","CH",Mare,"City Zip","Solo Survivor","","","","Broodmare Prospect","Pinhook Bloodstock",12000.00
3,1046,"Scott Mallory, Agent XIX","","Bodemeister --- Female Drama","05/03/2019","B",Filly,"Bodemeister","Female Drama","","","","Yearling","Susan Anderson Racing",15000
3,1047,"Brandywine Farm (Jim & Pam Robinson)","","Lea --- Fiercely","04/02/2019","B",Colt,"Lea","Fiercely","","","","Yearling","Out",0
3,1048,"Blackburn Farm (Michael T. Barnett), Agent","","Texas Red --- Fight Girl","03/29/2019","CH",Colt,"Texas Red","Fight Girl","","","","Yearling","*RNA (14,500)",---
3,1049,"Bluewater Sales LLC, Agent VIII","","Fighting Glory","04/18/2015","CH",Mare,"To Honor and Serve","Snow Cone","Competitive Edge","06/22/2019","pregnant","Broodmare","Chris Dismuke",5200
3,1050,"Pope McLean (Crestwood Farm), Agent","","Fine Candy","05/12/2011","CH",Mare,"Candy Ride (ARG)","Fi","Sharp Azteca","03/20/2019","pregnant","Broodmare","Serendipity Farm",12000
3,1051,"Taylor Made Sales Agency, Agent LXXXII","","Fire and Flame","03/23/2010","B",Mare,"Henrythenavigator","Twenty Eight Carat","Creative Cause","05/21/2019","pregnant","Broodmare","*RNA (17,000)",---
3,1052,"Clarkland Farm, LLC","","Blame --- Fiscal Policy","03/13/2019","B",Colt,"Blame","Fiscal Policy","","","","Yearling","*RNA (22,000)",---
3,1053,"Greenfield Farm (B. D. Gibbs Farm LLC), Agent VII","","Fleet Tigress","03/03/2015","CH",Mare,"Lemon Drop Kid","Fast Tigress","Mucho Macho Man","05/22/2019","pregnant","Broodmare","Legend Stud Farm",5500
3,1054,"Taylor Made Sales Agency, Agent XXIV","","Folk Legend","03/14/2016","B",Filly,"Tapizar","Folklore","","","","Broodmare Prospect","Healthy Wood Co., Ltd.",150000
3,1055,"Legacy Bloodstock, Agent XX","","Fonda Romana","04/13/2015","CH",Mare,"Roman Ruler","Fond","","","","Broodmare Prospect","*RNA (2,500)",---
3,1056,"Patricia Clark, Agent V","","Palace Malice --- French Bride","04/06/2019","B",Colt,"Palace Malice","French Bride","","","","Yearling","Out",0
3,1057,"South Point Sales Agency, Agent X","","Mucho Macho Man --- French Song","03/15/2019","B",Colt,"Mucho Macho Man","French Song","","","","Yearling","*RNA (19,000)",---
3,1058,"Taylor Made Sales Agency, Agent LIII","","Goldencents --- Frere Pilgrim","05/02/2019","DB/BR",Filly,"Goldencents","Frere Pilgrim","","","","Yearling","Out",0
3,1059,"Taylor Made Sales Agency, Agent for","Ann Mudge Backer (Smitten Farm)","Funny Flowers","05/03/2016","CH",Filly,"Distorted Humor","Storminthegarden","","","","Racing or Broodmare Prospect","Danny R. Caldwell",17000
3,1060,"Taylor Made Sales Agency, Agent LIV","","Super Saver --- Fusaichi Pretty","02/18/2019","DB/BR",Colt,"Super Saver","Fusaichi Pretty","","","","Yearling","Equine Consulting, Agent",4000
3,1061,"Hartwell Farm, Agent II","","Honor Code --- Getinthereonetime","04/12/2019","DB/BR",Filly,"Honor Code","Getinthereonetime","","","","Yearling","Out",0
3,1062,"Taylor Made Sales Agency, Agent L","","Girlsasaint","03/04/2007","CH",Mare,"Saint Liam","Honky Tonk Pat","Lookin At Lucky","05/12/2019","pregnant","Broodmare","Andy Simoff",13000
3,1063,"Taylor Made Sales Agency, Agent VIII","","Connect --- Glimmering (IRE)","04/17/2019","B",Colt,"Connect","Glimmering (IRE)","","","","Yearling","Michelle Redding, Agent",30000
3,1064,"Greenfield Farm (B. D. Gibbs Farm LLC), Agent I","","Global Warming","03/21/2010","DB/BR",Mare,"Stormin Fever","Alashir's World","Unified","03/26/2019","pregnant","Broodmare","*RNA (19,000)",---
3,1065,"Hill 'n' Dale Sales Agency, Agent","","Bayern --- Gloria Victoria","04/16/2019","CH",Colt,"Bayern","Gloria Victoria","","","","Yearling","Rushton Thoroughbreds LLC",1200
3,1066,"Penn Sales","","Goalkeeper","04/13/2007","B",Mare,"Arch","Mood Music","American Freedom","04/06/2019","pregnant","Broodmare","*RNA (4,500)",---
3,1067,"South Point Sales Agency, Agent XV","","Go Gigi Go Gigi Go","02/15/2017","DB/BR",Filly,"Congrats","Ella's Music","","","","Racing or Broodmare Prospect","Slade Callaghan",11000
3,1068,"Brandywine Farm (Jim & Pam Robinson)","","Goldencents --- Gold Club","04/07/2019","CH",Filly,"Goldencents","Gold Club","","","","Yearling","*RNA (24,000)",---
3,1069,"Taylor Made Sales Agency, Agent XCII","","Gran Cherry","04/13/2014","B",Mare,"First Dude","Poppy's Baby Girl (GB)","","","","Broodmare Prospect","Out",0
3,1070,"Castle Park Farm LLC (Noel Murphy), Agent VII","","Grand Slam Girl","03/02/2004","DB/BR",Mare,"Grand Slam","Itama","Mo Town","04/18/2019","pregnant","Broodmare","A. Cary, Agent for Coteau Grove Farms",20000
3,1071,"Taylor Made Sales Agency, Agent XCIII","","Great Passion","04/05/2007","DB/BR",Mare,"Giant's Causeway","Salt Champ (ARG)","Jimmy Creed","03/15/2019","pregnant","Broodmare","De Burgh Equine",8000
3,1072,"Taylor Made Sales Agency, Agent CVII","","Gris Gris","04/07/2014","DB/BR",Mare,"Spring At Last","That Voodoo Youdo","Malibu Moon","03/19/2019","pregnant","Broodmare","*RNA (95,000)",---
3,1073,"Taylor Made Sales Agency, Agent LXXXII","","Exaggerator --- Hallie Gay","04/12/2019","DB/BR",Colt,"Exaggerator","Hallie Gay","","","","Yearling","Big Chief Racing",20000
3,1074,"Vinery Sales, Agent XLIX","","Harlan Helper","03/11/2007","B",Mare,"Friends Lake","Harlan Honey","Summer Front","04/11/2019","pregnant","Broodmare","Charles Yochum",2500
3,1075,"Taylor Made Sales Agency, Agent XVII","","Hawn","03/03/2015","CH",Mare,"Curlin","Spring Zapper","Astern (AUS)","05/25/2019","pregnant","Broodmare","Jose M. Garcia-Blanco",3000
3,1076,"Alliance Sales Agency, Agent IV","","Hidden Rosie","04/26/2016","B",Filly,"Signature Red","Yellowenglishrose","","","","Racing or Broodmare Prospect","*RNA (29,000)",---
3,1077,"Hunter Valley Farm, Agent","","Honeyed","04/07/2011","B",Mare,"Candy Ride (ARG)","Meguilty","Tapiture","04/19/2019","pregnant","Broodmare","Equus Farm",6000
3,1078,"Garrencasey Sales LLC, Agent","","Klimt --- Hot Chocolate Hit","04/24/2019","B",Colt,"Klimt","Hot Chocolate Hit","","","","Yearling","4 PM Farm",55000
3,1079,"Taylor Made Sales Agency, Agent XIX","","Exaggerator --- House Money","03/17/2019","DB/BR",Filly,"Exaggerator","House Money","","","","Yearling","Andy Simoff",12500
3,1080,"Taylor Made Sales Agency, Agent IV","","Humbelina","03/13/2013","B",Mare,"Stormy Atlantic","Humbling (IRE)","Competitive Edge","05/25/2019","pregnant","Broodmare","Out",0
3,1081,"Denali Stud, Agent XXXII","","Hurricane Sheila","03/03/2014","DB/BR",Mare,"Congrats","Storm City Blues","Freud","05/26/2019","pregnant","Broodmare","Rebecca Farms, LLC",3500
3,1082,"Scott Mallory, Agent I","","I Love Nola","05/18/2009","B",Mare,"Champali","Always Try Love","Commissioner","03/31/2019","pregnant","Broodmare","*RNA (7,000)",---
3,1083,"Scott Mallory, Agent I","","Judy Byrd","02/02/2019","CH",Filly,"Commissioner","I Love Nola","","","","Yearling","*RNA (18,000)",---
3,1084,"Vinery Sales, Agent XXIX","","I'mnotshyi'llbuy","03/11/2015","B",Mare,"Distorted Humor","Dontbeshy I'll Buy","","","","Racing or Broodmare Prospect","Coast Racing, LLC",75000
3,1085,"Select Sales, Agent V","","Indian Lullaby","02/12/2012","DB/BR",Mare,"Indian Charlie","Buzz Song","Sharp Azteca","05/26/2019","pregnant","Broodmare","Gayle Van Leer, Agent",19000
3,1086,"St George Sales, Agent II","","Cairo Prince --- Irish Connection","05/08/2019","DB/BR",Filly,"Cairo Prince","Irish Connection","","","","Yearling","Gina Fennell",9000
3,1087,"Legacy Bloodstock, Agent XXV","","Point of Entry --- Jazz Dancer","02/14/2019","B",Filly,"Point of Entry","Jazz Dancer","","","","Yearling","Machmer Hall, Agent for David Menard",13000
3,1088,"Hunter Valley Farm, Agent","","Fed Biz --- Jive Talk","05/08/2019","B",Colt,"Fed Biz","Jive Talk","","","","Yearling","*RNA (0)",---
3,1089,"Denali Stud, Agent XIX","","Joyce","02/01/2008","DB/BR",Mare,"Rock Hard Ten","Coronation Cup","Maclean's Music","03/28/2019","pregnant","Broodmare","Out",0
3,1090,"Denali Stud, Agent XIX","","Dialed In --- Joyce","03/09/2019","DB/BR",Colt,"Dialed In","Joyce","","","","Yearling","Margie Webb",8000
3,1091,"Legacy Bloodstock, Agent VI","","Goldencents --- Joyfull Julia","02/01/2019","B",Filly,"Goldencents","Joyfull Julia","","","","Yearling","Equine Consulting, Agent",4000
3,1092,"Taylor Made Sales Agency, Agent LXXVIII","","California Chrome --- Just Got In","03/24/2019","CH",Filly,"California Chrome","Just Got In","","","","Yearling","Robert Wright",3000
3,1093,"Select Sales, Agent I","","Jyles","02/08/2012","GR/RO",Mare,"Yes It's True","Sarah's World","McCraken","03/23/2019","pregnant","Broodmare","Out",0
